author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,xenophobic
860351,2009-04-13 03:33:01+00:00, ,1507013043,en,0,0,0,0, ,I believe Singapore stands at a crossroad of accepting and integrating the diversity of foreign residents or becoming xenophobic and bland.,xenophobic
3940011,2009-06-19 05:03:38+00:00, ,2233884684,en,0,0,0,0, ,"@bgok yeah, Vienna is xenophobic & Singapore is strict as a Sunday nun. But Singapore has the tropical weather and east jump to Thailand :)",xenophobic
13573782,2009-07-12 03:49:04+00:00, ,2593715294,en,0,0,0,0, ,"Gonna be xenophobic now: At least in singapore, Qs are orderly. People don't really cut Q. If this were China... Good luck, pal.",xenophobic
112566442,2010-04-18 07:09:24+00:00, ,12385697075,en,0,0,0,0, ,"Cum2 Singapore We r never xenophobic. If anythin, we r reverse-xeno (quietly hateful of our own kind 4 putting up w..). Unless u smell poor",xenophobic
6406742,2010-06-02 04:11:14+00:00, ,15227687419,en,0,0,0,0, ,Heh @gibtang can i be xenophobic & just refer 4mill to those born in Singapore?,xenophobic
67957503,2010-07-15 15:13:44+00:00, ,18609343537,en,0,0,0,0, ,"Xenophobic Singapore?: By Mong Palatino 
In a blogpost titled Xenophobic Singapore, blogger Freak Thou... http://bit.ly/cIS8mU #world #news",xenophobic
86736177,2010-07-13 05:53:12+00:00, ,18415392909,en,0,0,0,0, ,Xenophobic Singapore: Freak ThoughtsTweet http://twurl.nl/ylasz8 #Singapore,xenophobic
26425084,2010-07-05 02:00:44+00:00, ,17758299258,en,0,0,0,0, ,Straits Times Page 2 commentary "Us [Singaporeans] and Them [immigrants in Singapore]" today by Rachel Chang = idiotic xenophobic bullshit.,xenophobic
92705491,2010-10-27 05:10:28+00:00, ,28862184474,en,0,0,0,0, ,"RT @proquar: So, Hockey on #am says we should not be xenophobic re: Singapore takeover of ASX monopoly... but a few desperate guys on boats",xenophobic
125911617,2010-10-25 22:33:25+00:00, ,28731390545,en,0,0,0,3, ,"RT @proquar: So, Hockey on #am says we should not be xenophobic re: Singapore takeover of ASX monopoly... but a few desperate guys on bo ...",xenophobic
17588951,2010-10-25 21:46:50+00:00, ,28727850837,en,0,0,0,3, ,"RT @proquar: So, Hockey on #am says we should not be xenophobic re: Singapore takeover of ASX monopoly... but a few desperate guys on bo ...",xenophobic
14145195,2010-10-25 21:46:10+00:00, ,28727801879,en,0,0,0,0, ,RT @proquar: Hockey on #am says we shouldn't be xenophobic re: Singapore takeover of ASX - but a few desperate guys on boats is a takeover,xenophobic
23750497,2010-10-25 21:08:48+00:00, ,28725141216,en,0,0,0,3, ,"So, Hockey on #am says we should not be xenophobic re: Singapore takeover of ASX monopoly... but a few desperate guys on boats is a takeover",xenophobic
134531788,2011-02-16 13:59:50+00:00, ,3.78738E+16,en,0,0,0,0, ,"Pls don't take lift in NEX if you're claustrophobic or xenophobic, or you might go crazy when this happens: http://t.co/zCzPnGa via @cmswire",xenophobic
625243,2011-05-28 17:16:20+00:00, ,7.45244E+16,en,0,0,0,0, ,The xenophobic comments in response to this letter seriously made me roll my eyes. This is not the Singapore I want. http://bit.ly/jHM8MM,xenophobic
96917269,2011-05-07 00:44:17+00:00, ,6.66646E+16,en,0,0,0,0, ,"Predictions: PP falls to PAP, Aljunied crosses over to WP. Our PR and foreign friends wake up to a new xenophobic Singapore. I'm ashamed.",xenophobic
16828845,2011-05-06 05:50:01+00:00, ,6.63792E+16,en,0,0,0,0, ,Is Singapore headed towards being a xenophobic nation? How far is it from being called one?,xenophobic
625243,2011-05-04 03:39:13+00:00, ,6.56215E+16,en,0,0,0,0, ,"Furriners get out! =P #SGelections #xenophobic RT @lynnylchan: I'm in ur Singapore, steelin ur jobs.",xenophobic
49922010,2011-05-01 14:30:40+00:00, ,6.46983E+16,en,0,0,0,0, ,"#Singapore Soundbites: Singapore GE, Xenophobic Singaporean ? zh_lam: And the GE here once again... http://bit.ly/lERXIf #h1n1 #swineflu",xenophobic
44205665,2011-06-29 07:36:48+00:00, ,8.5975E+16,en,0,0,0,0, ,I'm tired of foreigners speaking ill of Singapore. I'm tired of Singaporeans being xenophobic. I'm tired of ppl complaining abt govt & army.,xenophobic
75594060,2011-06-21 05:00:12+00:00, ,8.30365E+16,en,0,0,0,0, ,"What pisses me off living in Singapore? - The totalitarian government, xenophobic people, extremely... http://tumblr.com/xdt33l6tx5",xenophobic
37904085,2011-06-14 19:07:14+00:00, ,8.07129E+16,en,0,0,0,0, ,Rising xenophobic sentiment against foreign talent in Singapore: http://bit.ly/mckZVQ,xenophobic
22876951,2011-06-14 16:02:06+00:00, ,8.06663E+16,en,0,0,1,0, ,Rising xenophobic sentiment against foreign talent in Singapore: http://tinyurl.com/3gy7pfr,xenophobic
15899971,2011-07-19 03:40:52+00:00, ,9.31634E+16,en,0,0,0,0, ,Yahoo! Singapore: a cesspit of sexist and xenophobic toxicity.,xenophobic
674573,2011-08-19 04:03:49+00:00, ,1.04403E+17,en,0,0,1,0, ,"""Ban Alex Chang from all McDs in Singapore"" - not racist, not xenophobic, just hate",xenophobic
61678898,2011-08-18 09:53:57+00:00, ,1.04129E+17,en,0,0,0,0, ,I think its time we call it as it is: the current xenophobic climate in Singapore is propagating a climate o… (cont) http://t.co/YZMGwTH,xenophobic
35177675,2011-08-18 09:53:55+00:00, ,1.04129E+17,en,0,0,1,0, ,I think its time we call it as it is: the current xenophobic climate in Singapore is propagating a climate o… (cont) http://t.co/XIxKPw8,xenophobic
209890625,2011-08-17 00:28:01+00:00, ,1.03624E+17,en,0,0,0,0, ,"Concerned that there are palpable bumiputera, entitlement and xenophobic undercurrents in Singapore society #sg",xenophobic
86736177,2011-08-16 13:59:17+00:00, ,1.03466E+17,en,0,0,0,0, ,(Razor TV) Don't turn curry controversy into xenophobic attack: Law Minister K Shanmugam has weighed ... http://t.co/mOIa6Cy #Singapore,xenophobic
341375420,2011-08-16 13:53:36+00:00, ,1.03464E+17,en,0,0,0,0, ,NewsInSG: Don't turn curry controversy into xenophobic attack: Law Minister K Shanmugam has weighed i... http://t.co/gjfSD1u #Singapore,xenophobic
108000939,2011-08-16 06:32:44+00:00, ,1.03353E+17,en,0,0,0,0, ,fuck the Singapore govt. let stupid fucking indian shot occupy my school. it's only gonna make me more xenophobic. diverse my shit.,xenophobic
9143932,2011-08-13 15:14:31+00:00, ,1.02398E+17,en,0,0,0,0, ,Engaging in a semi-flame war of words with my sister from Singapore about intolerance and xenophobic behavior this morning. #family,xenophobic
