author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,xenophobia
18285948,2009-11-04 10:42:15+00:00, ,5417283000,en,0,0,0,0, ,The Indians and Chinese are everywhere ...Australia/Europe/Singapore beware world we take over in a decade or two :):) #xenophobia,xenophobia
19346489,2009-12-11 12:42:47+00:00, ,6565262834,en,0,0,0,0, ,"Is intrigued that Singapore, which has always prided itself as being an immigrant community, is now grappling with increasing xenophobia.",xenophobia
14261725,2009-12-07 11:45:25+00:00, ,6428404952,en,0,0,0,0, ,PRC lady got beaten up in Singapore over S$250 karaoke bill http://bit.ly/7YVYqd #xenophobia (Read the replies. True feelings of the locals),xenophobia
94062475,2010-04-20 17:34:24+00:00, ,12528295418,en,0,0,0,0, ,"""A United Nations expert on racism and xenophobia is visiting Singapore to do a first-hand study of the situation in the country.""",xenophobia
52981381,2010-04-20 06:00:06+00:00, ,12500867107,en,0,0,0,0, ,"For the 1st time, a UN expert on racism & xenophobia is visiting & doing study on Singapore's racial ties http://bit.ly/coHM68 via @alvintck",xenophobia
19761396,2010-04-19 15:10:45+00:00, ,12460509612,en,0,0,0,0, ,#UNHCHR: First mission to Singapore by @UN expert on #Racism/#Xenophobia http://tinyurl.com/y7kr69p,xenophobia
49566762,2010-04-19 15:10:41+00:00, ,12460506897,en,0,0,0,0, ,#UNHCHR: First mission to Singapore by @UN expert on #Racism/#Xenophobia http://tinyurl.com/y7kr69p,xenophobia
83875900,2010-05-01 11:18:41+00:00, ,13183302825,en,0,0,0,0, ,RT @unictunis: #UN Special Rapporteur on racism / #xenophobia concludes visit to #Singapore http://tinyurl.com/335v2b9,xenophobia
19761396,2010-05-01 09:28:10+00:00, ,13180219156,en,0,0,0,0, ,#UN Special Rapporteur on racism / xenophobia concludes visit to #Singapore http://tinyurl.com/335v2b9 #xenophobia,xenophobia
49566762,2010-05-01 09:28:10+00:00, ,13180218980,en,0,0,0,0, ,#UN Special Rapporteur on racism / xenophobia concludes visit to #Singapore http://tinyurl.com/335v2b9 #xenophobia,xenophobia
112566442,2010-07-11 10:13:22+00:00, ,18262078850,en,0,0,0,0, ,@powerofpop We never hv 2worry abt xenophobia. Singapore system practises reverse xenophobia - discriminate against our own kind,xenophobia
19345323,2010-07-11 08:42:56+00:00, ,18258543129,en,0,0,0,0, ,PAP MP Grace Fu spreading ※integration§ propaganda to Singapore students: Stunned at the rising xenophobia among y... http://bit.ly/c5lVM5,xenophobia
112566442,2010-08-05 03:49:04+00:00, ,20359121886,en,0,0,0,0, ,@powerofpop Told u we practise reverse xenophobia- discriminate against OURSELVES! Long-held tradition in Singapore,xenophobia
181883098,2010-09-03 05:26:28+00:00, ,22862779102,en,0,0,0,0, ,"The xenophobia & dehumanisation is so blatant. I'm like, WTF?! http://www.straitstimes.com/BreakingNews/Singapore/Story/STIStory_573948.html",xenophobia
49180207,2010-10-28 12:57:09+00:00, ,28986138046,en,0,0,0,0, ,"wtf, Singapore Democratic Party thinks the #1 election issue is...the PAP govt letting ""too much"" foreign labour in! SDP fail! #xenophobia",xenophobia
86736177,2010-10-27 06:44:54+00:00, ,28866629063,en,0,0,0,0, ,"Xenophobia, Incompetence And Foreign Investment Wars: Bernard Keane and Glenn Dyer, CrikeyIn short, th... http://twurl.nl/ytb0sg #Singapore",xenophobia
14261725,2010-11-08 13:59:46+00:00, ,1.63499E+15,en,0,0,0,0, ,"Is Singapore rife w/ #xenophobia and segregation? Will granting powers to two, or more, political parties pave the way for a better future?",xenophobia
14639868,2010-12-22 11:32:45+00:00, ,1.75431E+16,en,0,0,0,0, ,Lerf u cedele. U r my refuge from xenophobia coz of ur overpriced foodz. #singapore #too #crowded #christmas #sucks,xenophobia
