author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,racial discrimination
15098076,2008-09-24 07:01:58+00:00, ,932697998,en,0,0,0,0, ,If there is no racial discrimination in Singapore. Why is there a 'Race' column in your job application?,racial discrimination
16434036,2009-04-28 09:57:48+00:00, ,1637704682,en,0,0,0,0, ,Racial discrimination in the singapore air force? Not a single Malay here. And I wonder why. Aren't we a racial harmonious country?,racial discrimination
770057,2009-12-17 09:27:11+00:00, ,6759551113,en,0,0,0,0, ,Who says that Racial Discrimination does not exist in Singapore?: Extracted from a Facebook note and another blogpo... http://bit.ly/507jCg,racial discrimination
17344059,2010-02-25 03:30:52+00:00, ,9608532526,en,0,0,0,0, ,It so apparent that racial discrimination in Singapore is an overlooked issue. Just look at my workplace.And I bet its happening everywhere.,racial discrimination
20569938,2010-09-13 01:27:46+00:00, ,24336413477,en,0,0,0,0, ,@taxiauntie erm the part where he espouses the racial equality in Singapore when they in fact practice obvious racial discrimination?,racial discrimination
140383878,2010-09-08 10:03:42+00:00, ,23901431873,en,0,0,0,0, ,"Politics and Ethnicity: Framing Racial Discrimination in Singapore: Introduction
※..it is absolutely necessary in ... http://bit.ly/906LFI",racial discrimination
64684768,2010-09-08 09:47:03+00:00, ,23900623943,en,0,0,0,0, ,(TTR) Politics and Ethnicity: Framing Racial Discrimination in Singapore http://scoo.ps/chk2m6,racial discrimination
129753846,2010-09-08 09:47:01+00:00, ,23900623015,en,0,0,0,0, ,(TTR) Politics and Ethnicity: Framing Racial Discrimination in Singapore http://scoo.ps/chk2m6,racial discrimination
19345323,2010-09-08 09:42:44+00:00, ,23900421421,en,0,0,0,0, ,"Politics and Ethnicity: Framing Racial Discrimination in Singapore: Introduction
※..it is absolutely necessary in ... http://bit.ly/bdPwfX",racial discrimination
66090625,2010-09-02 10:16:16+00:00, ,22786591724,en,0,0,0,1, ,RT @singpore_news: Politics and ethnicity: framing racial discrimination in Singapore http://bit.ly/a3Yh1C,racial discrimination
27598291,2010-09-02 10:15:03+00:00, ,22786535507,en,0,0,0,1, ,Politics and ethnicity: framing racial discrimination in Singapore http://bit.ly/a3Yh1C,racial discrimination
14569291,2010-09-02 01:20:30+00:00, ,22758357542,en,1,0,0,0, ,Politics and Ethnicity: Framing Racial Discrimination in Singapore by Dr James Gomez: http://bit.ly/9gAq5w,racial discrimination
224414444,2011-01-29 03:42:04+00:00, ,3.11953E+16,en,0,0,0,0, ,Politics and Ethnicity: Framing Racial Discrimination in Singapore ... http://bit.ly/dTLIhO,racial discrimination
225245047,2011-01-28 20:04:07+00:00, ,3.10801E+16,en,0,0,0,0, ,Politics and Ethnicity: Framing Racial Discrimination in Singapore ... http://bit.ly/dTLIhO,racial discrimination
224414444,2011-01-28 14:00:13+00:00, ,3.09885E+16,en,0,0,0,0, ,Politics and Ethnicity: Framing Racial Discrimination in Singapore ... http://bit.ly/dTLIhO,racial discrimination
22095135,2011-01-28 05:33:31+00:00, ,3.0861E+16,en,0,0,0,0, ,Politics and Ethnicity: Framing Racial Discrimination in Singapore Report Launch: http://wp.me/peShx-dp,racial discrimination
14569291,2011-01-28 01:57:48+00:00, ,3.08067E+16,en,0,0,0,0, ,Launch @postmuseum of "Politics and Ethnicity: Framing Racial Discrimination in Singapore" on 12th Feb at 4pm - http://on.fb.me/dRwc53,racial discrimination
14569291,2011-02-15 06:57:38+00:00, ,3.74052E+16,en,0,0,0,0, ,Read Part 1 of TOC's article on the recent launch of Dr James Gomez's paper on racial discrimination in Singapore - http://bit.ly/g3HB1j,racial discrimination
225245047,2011-02-14 09:18:18+00:00, ,3.70782E+16,en,0,0,0,0, ,Politics and Ethnicity: Framing Racial Discrimination in Singapore ... http://bit.ly/eVKyNS,racial discrimination
224824996,2011-02-14 03:47:05+00:00, ,3.69948E+16,en,0,0,0,0, ,Politics and Ethnicity: Framing Racial Discrimination in Singapore ... http://bit.ly/eVKyNS,racial discrimination
224414444,2011-02-14 03:10:09+00:00, ,3.69855E+16,en,0,0,0,0, ,Politics and Ethnicity: Framing Racial Discrimination in Singapore ... http://bit.ly/eVKyNS,racial discrimination
14569291,2011-02-13 02:19:14+00:00, ,3.66103E+16,en,0,0,0,0, ,Dr James Gomez's paper on racial discrimination in Singapore which was launched yesterday at a public forum: http://bit.ly/e5xOIW,racial discrimination
221341480,2011-02-11 20:16:15+00:00, ,3.61566E+16,en,0,0,0,0, ,Launch of #Politics and Ethnicity Framing Racial Discrimination in Singapore at Roswell Road today from 4pm onwards http://goo.gl/V6mvG,racial discrimination
24650758,2011-02-10 07:31:49+00:00, ,3.56018E+16,en,0,0,0,1, ,RT @skinnylatte: Politics and Ethnicity: Framing Racial Discrimination in Singapore http://t.co/6wCWPsT,racial discrimination
9093,2011-02-10 07:06:32+00:00, ,3.55955E+16,en,0,0,0,1, ,Politics and Ethnicity: Framing Racial Discrimination in Singapore http://t.co/6wCWPsT,racial discrimination
14569291,2011-02-08 23:55:41+00:00, ,3.51246E+16,en,0,0,0,0, ,Media Release: Launch of "Politics and Ethnicity: Framing Racial Discrimination in Singapore" http://wp.me/pi1jM-XO,racial discrimination
